k,x_min,y_min,log_height_over_log_k
373,3,20,0.506
377,4,21,0.513
379,-7,6,0.328
380,26,134,0.825
381,-5,16,0.467
385,-6,13,0.431
386,7,27,0.553
388,-4,18,0.485
389,35,208,0.895
392,-7,7,0.326
393,16,67,0.704
396,70,586,1.066
399,1,20,0.5
400,0,20,0.5
401,-1,20,0.5
404,5,23,0.522
406,107,1107,1.167
407,-7,8,0.346
408,-2,20,0.498
409,6,25,0.535
412,-6,14,0.438
414,-5,17,0.47
416,17,73,0.711
420,4,22,0.512
423,37,226,0.896
424,-7,9,0.363
425,-4,19,0.487
427,-3,20,0.495
433,2,21,0.502
440,1,21,0.5
441,-6,15,0.445
442,-1,21,0.5
443,-7,10,0.378
444,10,38,0.597
449,-5,18,0.473
451,5,24,0.52
457,3,22,0.505
460,6,26,0.531
464,-7,11,0.391
465,4,23,0.51
468,-3,21,0.495
469,15,62,0.671
472,-6,16,0.45
476,2,22,0.501
481,12,47,0.623
483,1,22,0.5
484,0,22,0.5
485,-1,22,0.5
486,-5,19,0.476
487,-7,12,0.402
492,-2,22,0.499
496,9,35,0.573
498,7,29,0.542
500,5,25,0.518
502,3,23,0.504
504,25,127,0.778
505,-6,17,0.455
506,47,323,0.928
507,13,52,0.634
511,-3,22,0.496
512,-8,0,0.333
513,-8,1,0.333
516,-8,2,0.333
518,11,43,0.602
519,133,1534,1.173
521,-8,3,0.332
525,-5,20,0.478
528,-8,4,0.332
529,0,23,0.5
530,-1,23,0.5
531,85,784,1.062
537,-8,5,0.331
539,-7,14,0.42
540,-6,18,0.459
544,33,191,0.834
545,74,637,1.025
548,-8,6,0.33
549,3,24,0.504
551,5,26,0.516
556,-3,23,0.496
557,7,30,0.538
561,-8,7,0.329
563,17,74,0.68
566,-5,21,0.48
567,9,36,0.565
568,-7,15,0.427
574,51,365,0.929
575,1,24,0.5
576,-8,8,0.327
577,-6,19,0.463
582,43,283,0.887
584,-2,24,0.499
588,22,106,0.731
593,-8,9,0.344
594,15,63,0.649
598,3,25,0.503
599,-7,16,0.434
600,10,40,0.577
602,23,113,0.739
603,-3,24,0.496
604,5,27,0.515
605,11,44,0.591
609,-5,22,0.482
612,-8,10,0.359
616,-6,20,0.466
617,2,25,0.501
618,7,31,0.534
620,14,58,0.632
622,219,3241,1.257
624,1,25,0.5
625,0,25,0.5
626,-1,25,0.5
631,89,840,1.044
632,-7,17,0.439
633,-8,11,0.372
635,269,4412,1.3
638,67,549,0.977
640,-4,24,0.492
644,8,34,0.545
649,3,26,0.503
